Country Name,Country Code,Population,GDP
Afghanistan,AFG,37172386,20116137325.8206
Albania,ALB,2866376,14887629268.2927
Algeria,DZA,42228429,145009181490.62
American Samoa,ASM,55465,709000000.0
Angola,AGO,30809762,58375976292.9678
Antigua and Barbuda,ATG,96286,1370281481.48148
Argentina,ARG,44494502,389288056265.325
Armenia,ARM,2951776,12641209802.112
Australia,AUS,24982688,1327836171068.51
Austria,AUT,8840521,433258467676.515
Azerbaijan,AZE,9939800,42607176470.5882
Bahrain,BHR,1569439,34729228723.4043
Bangladesh,BGD,161356039,323056957972.312
Barbados,BRB,286641,4418000000.0
Belarus,BLR,9483499,60258239055.5829
Belgium,BEL,11433256,521861292586.616
Belize,BLZ,383071,1636280797.08056
Benin,BEN,11485048,15651545331.5404
Bermuda,BMU,63973,6842700000.0
Bhutan,BTN,754394,2315437338.08809
Bosnia and Herzegovina,BIH,3323929,19946496562.9733
Botswana,BWA,2254126,15061922801.6271
Brazil,BRA,209469333,1444733258971.65
Brunei Darussalam,BRN,428962,12005825769.5087
Bulgaria,BGR,7025037,69889347433.4324
Burkina Faso,BFA,19751535,17933606353.1775
Burundi,BDI,11175378,2841786382.19063
Cambodia,KHM,16249798,25808561550.9514
Cameroon,CMR,25216237,40804449726.0184
Canada,CAN,37057765,1645423407568.36
Cayman Islands,CYM,64174,5591623664.9466
Central African Republic,CAF,4666377,2380087758.04137
Chad,TCD,15477751,10829076801.729
Chile,CHL,18729160,252940023046.007
China,CHN,1392730000,14722730697890.1
Colombia,COL,49648685,271437596293.843
Comoros,COM,832322,1235400352.2931
Costa Rica,CRI,4999441,61846895120.7808
Croatia,HRV,4087843,57203783203.0259
Cuba,CUB,11338138,107352000000.0
Cyprus,CYP,1189265,24612646487.7213
Czech Republic,CZE,10629928,245339322066.759
Denmark,DNK,5793636,356084867685.639
Djibouti,DJI,958920,3384385216.71609
Dominica,DMA,71625,504214814.814815
Dominican Republic,DOM,10627165,78844702329.0785
Ecuador,ECU,17084357,98808010000.0
El Salvador,SLV,6420744,24638720000.0
Equatorial Guinea,GNQ,1308974,10021856754.4944
Estonia,EST,1321977,30650285471.7215
Ethiopia,ETH,109224559,107645054311.876
Fiji,FJI,883483,4533883782.27458
Finland,FIN,5515525,269594831987.549
France,FRA,66977107,2630317731455.26
Gabon,GAB,2119275,15316826191.5682
Georgia,GEO,3726549,15846489610.8073
Germany,DEU,82905782,3846413928653.71
Ghana,GHA,29767108,68532281805.6722
Greece,GRC,10731726,188835201625.91
Grenada,GRD,111454,1042100555.55556
Guam,GUM,165768,5844000000.0
Guatemala,GTM,17247807,77604632170.5853
Guinea,GIN,12414318,15681050917.1563
Guinea-Bissau,GNB,1874309,1431758242.90375
Guyana,GUY,779004,5471256594.72422
Haiti,HTI,11123176,14508218017.4032
Honduras,HND,9587522,23662231633.9139
Hungary,HUN,9775564,155808436238.487
Iceland,ISL,352721,21718075725.2054
India,IND,1352617328,2660245248867.63
Indonesia,IDN,267663435,1058423838345.14
Iraq,IRQ,38433600,166756984395.973
Ireland,IRL,4867309,425888950992.003
Israel,ISR,8882800,407100736594.064
Italy,ITA,60421760,1888709443687.48
Jamaica,JAM,2934855,13812425036.5864
Japan,JPN,126529100,5057758958706.64
Jordan,JOR,9956011,43697659295.7747
Kazakhstan,KAZ,18272430,171082379532.988
Kenya,KEN,51393010,101013726529.063
Kiribati,KIR,115847,197508774.344505
Kuwait,KWT,4137309,105960225688.145
Latvia,LVA,1927174,33707320816.3036
Lebanon,LBN,6848925,31735217784.5445
Lesotho,LSO,2108132,1875227642.47384
Liberia,LBR,4818977,3201187800.0
Libya,LBY,6678567,25418916028.8964
Lithuania,LTU,2801543,56546957475.4912
Luxembourg,LUX,607950,73353132793.7076
Madagascar,MDG,26262368,13056079982.3887
Malawi,MWI,18143315,12182348212.7073
Malaysia,MYS,31528585,337006066373.26
Maldives,MDV,515696,3742769967.42798
Mali,MLI,19077690,17465392915.9153
Malta,MLT,484630,14647384607.604
Marshall Islands,MHL,58413,244462400.0
Mauritania,MRT,4403319,7913680231.1828
Mauritius,MUS,1265303,10920606197.6928
Mexico,MEX,126190788,1073915880822.5
Monaco,MCO,38682,6816219303.25528
Mongolia,MNG,3170208,13312981594.573
Montenegro,MNE,622227,4769860740.74074
Morocco,MAR,36029138,114725065285.149
Mozambique,MOZ,29495962,14019446610.1963
Myanmar,MMR,53708395,79852046610.9676
Namibia,NAM,2448255,10619194505.3543
Nauru,NRU,12704,114626625.553023
Nepal,NPL,28087871,33657175561.329
Netherlands,NLD,17231624,913865395789.886
New Zealand,NZL,4841000,210700848973.509
Nicaragua,NIC,6465513,12621505382.6062
Niger,NER,22442948,13741378450.136
Nigeria,NGA,195874740,432293776262.398
Norway,NOR,5311916,362198318435.26
Oman,OMN,4829483,73971391417.4252
